=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:41:03 =~=~=~=~=~=~=~=~=~=~=~=
37.71
26.43
29.94
16.65
9.95
35.76
17.92
10.19
16.33
21.49
9.84
10.19
16.00
10.63
9.93
16.00
19.12
41.43
805.07
22.72
36.10
29.07
49.55
37.49
9.95
17.94
10.29
13.62
16.65
15.68
16.65
16.65
16.65
16.65
15.69
16.02
10.17
10.17
16.00
36.32
16.65
24.97
16.65
16.33
8.80
14.30
6.91
6.81
8.90
6.91
16.65
11.90
8.45
8.90
8.44
43.24
12.69
56.51
12.23
8.54
6.91
9.83
6.91
6.81
16.98
13.27
8.54
11.64
29.84
45.55
40.03
46.25
55.81
16.98
50.06
50.23
9.50
11.32
9.93
9.83
10.17
10.29
10.27
10.17
10.17
10.19
10.27
10.26
10.17
